Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2937.500000,2987.500000,2762.500000,2781.250000,1580.341797,30400
2000-01-04,2687.500000,2743.750000,2500.000000,2712.500000,1541.276978,167200
2000-01-05,2637.500000,2725.000000,2637.500000,2725.000000,1548.379517,51200
2000-01-06,2812.500000,2862.500000,2812.500000,2862.500000,1626.508423,47200
2000-01-07,2862.500000,3062.500000,2862.500000,2937.500000,1669.124634,173600
2000-01-10,2962.500000,3087.500000,2762.500000,3000.000000,1704.638062,46400
2000-01-11,3000.000000,3000.000000,2812.500000,3000.000000,1704.638062,31200
2000-01-12,2812.500000,2875.000000,2812.500000,2875.000000,1633.611328,39200
2000-01-13,2925.000000,2925.000000,2650.000000,2662.500000,1512.866211,85600
2000-01-14,2650.000000,2662.500000,2562.500000,2600.000000,1477.352905,101600
2000-01-17,2625.000000,2625.000000,2500.000000,2562.500000,1456.044800,52800
2000-01-18,2625.000000,2687.500000,2625.000000,2625.000000,1491.558350,48000
2000-01-19,2587.500000,2587.500000,2500.375000,2500.375000,1420.744629,26400
2000-01-20,2525.000000,2725.000000,2512.625000,2625.000000,1491.558350,128000
2000-01-21,2625.000000,2625.000000,2562.750000,2562.750000,1456.187012,37600
2000-01-24,2625.000000,2625.000000,2562.500000,2575.000000,1463.147583,25600
2000-01-25,2575.000000,2575.000000,2575.000000,2575.000000,1463.147583,0
2000-01-26,2575.000000,2575.000000,2500.000000,2500.000000,1420.531738,145600
2000-01-27,2512.500000,2525.000000,2500.000000,2525.000000,1434.736694,96000
2000-01-28,2450.125000,2500.000000,2425.000000,2500.000000,1420.531738,63200
2000-01-31,2437.500000,2437.500000,2375.000000,2375.000000,1349.505127,28800
2000-02-01,2456.250000,2468.625000,2456.250000,2468.625000,1402.704102,9600
2000-02-02,2469.000000,2500.000000,2387.625000,2387.625000,1356.678711,60800
2000-02-03,2437.500000,2437.500000,2375.000000,2375.000000,1349.505127,16800
2000-02-04,2412.500000,2412.500000,2250.000000,2374.875000,1349.433960,17600
2000-02-07,2499.750000,2499.750000,2375.000000,2412.500000,1370.813110,9600
2000-02-08,2375.000000,2375.000000,2250.000000,2374.375000,1349.149902,86400
2000-02-09,2375.000000,2375.000000,2137.750000,2250.000000,1278.478638,102400
2000-02-10,2275.000000,2275.000000,2250.000000,2250.000000,1278.478638,62400
2000-02-11,2262.625000,2375.000000,2262.625000,2325.000000,1321.094482,113600
2000-02-14,2338.125000,2468.625000,2337.500000,2375.125000,1349.575928,122400
